,rank,상품명,원가,판매가,이미지,상품링크,할인율
0,14,힐슈빌 신상 슬립온 통굽 키높이 스니커즈 운동화커플,32600,9800,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=653680064,69.94
1,5,[에코룸]특가 핸드스핀 회전걸레 밀대걸레 물걸레청소기 밀대,32900,9900,http://gdimg.gmarket.co.kr/1153444861/still/300,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=1153444861,69.91
2,13,유스타일팜/봄신상추가/밴딩팬츠/기모/본딩/청바지,32900,9900,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=869490518,69.91
3,19,츄아 데님남방 체크 스트라이프블라우스 루즈핏롱셔츠,19600,5900,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=1253060973,69.9
4,11,바브키즈 봄신상 상하복 국내생산,26000,7900,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=806338693,69.62
5,4,박경호 통곡물한끼선식 5박스(50포) + 쉐이커1증정,91500,27900,http://gdimg.gmarket.co.kr/498158466/still/300,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=498158466,69.51
6,1,푸마바디웨어 푸마 드로즈/브라/팬티/동내의 택일,25900,7900,http://gdimg.gmarket.co.kr/1163080944/still/300,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=1163080944,69.5
7,2,통영산 통통 활가리비 2KG / 단 하루 특가 마감임박,29000,8900,http://gdimg.gmarket.co.kr/433472486/still/300,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=433472486,69.31
8,9,핸드폰/갤럭시S8/S7/S6/엣지/노트8/5/4/V30/아이폰X/+,12000,3900,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=225532316,67.5
9,8,헤드앤숄더 샴푸/린스 850ml 2개 + 90ml 2개,45000,15000,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=933865243,66.67
10,7,오늘부터꼬옥 한알로 간편하게 풋사과 분말 정 1+1,25900,9900,http://gdimg.gmarket.co.kr/1246722197/still/300,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=1246722197,61.78
11,3,맛보면 단골/ 탱글탱글 대저토마토 5kg,30000,11900,http://gdimg.gmarket.co.kr/1271633209/still/300,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=1271633209,60.33
12,18,[몽드드]아기물티슈 오리지널 엠보싱 12팩+키친타올 증정,25900,10900,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=877505202,57.92
13,16,블랙앵거스 탑초이스 냉장 소갈비살 350g,22900,9900,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=690801688,56.77
14,15,[아벤느](본사 공식)오떼르말 1+1 외 BEST ITEM 단독특가,34000,15300,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=747142481,55.0
15,12,[디즈니]1+1 아동실내화 어린이 초등학생 신학기 유아 초등 봄,12900,5900,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=171114450,54.26
16,17,[세타필]-역대급 초특가- 세타필 2+1 초대박 프로모션,58500,27900,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=711284741,52.31
17,0,[마미포코]마미포코 360핏 3팩+슬림핏 팬티1팩,59900,34900,http://gdimg.gmarket.co.kr/127195332/still/300,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=127195332,41.74
18,10,[시세이도]본사정품 센카 퍼펙트 휩 N 120g 3개/ 시세이도,20000,18000,http://image.gmarket.co.kr/challenge/neo_image/no_image.gif,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=1162502575,10.0
19,6,20종~모두드려요/방수네임스티커/이름스티커/이름표,4900,4900,http://gdimg.gmarket.co.kr/1259719934/still/300,http://item2.gmarket.co.kr/Item/DetailView/Item.aspx?goodscode=1259719934,0.0
